KeyName,   Value
. . . Whole Cohort Statistics,   . . .
Num Episodes,   112
Total Hours,   112
Num BG measurements,   11217
Average time of hours analysed (Days),   0.0416666666666667
Median time of hours analysed [IQR] (Days),   [0.041666666666666664 0.041666666666666664 0.041666666666666664]
Mean Measures/day (Cohort),   2403.642857142857
Median [IQR] Measures/day (Per-Patient),   [972.0 1608.0 2934.0]
-----------------------,   -----------------------
. . . Raw BG stats,   . . .
BG median [IQR] (mmol/L),   [4.964233081350123 5.246977667423922 5.9066579985525856]
BG mean (geometric) (mmol/L),   5.669698694853968
BG StDev (geometric) (mmol/L),   1.3906720492505371
Num episodes < 4.0 mmol/L,   41
Num episodes < 2.22 mmol/L,   2
% BG < 2.2 mmol/L,   0.01783007934385308
% BG < 4.0 mmol/L,   1.4264063475082462
% BG < 4.4 mmol/L,   3.566015868770616
% BG within 4.4 - 6.5 mmol/L,   80.56521351520014
% BG within 4.4 - 7.0 mmol/L,   85.6913613265579
% BG within 4.4 - 8.0 mmol/L,   91.02255505036997
% BG within 8.0 - 10 mmol/L,   3.3431398769724527
% BG within > 10 mmol/L,   2.032629045199251
-----------------------,   -----------------------
. . . Hourly Resampled BG stats,   . . .
BG median [IQR] (mmol/L),   [0.0 0.0 0.0]
BG mean (geometric) (mmol/L),   0.0
BG StDev (geometric) (mmol/L),   0.0
% BG < 2.2 mmol/L,   100.0
% BG < 4.0 mmol/L,   100.0
% BG < 4.4 mmol/L,   100.0
% BG within 4.4 - 6.1 mmol/L,   0.0
% BG within 4.4 - 7 mmol/L,   0.0
% BG within 4.4 - 8 mmol/L,   0.0
% BG within 4.4 - 9 mmol/L,   0.0
% BG within 6.0 - 9 mmol/L,   0.0
% BG within 8.0 - 10 mmol/L,   0.0
% BG within > 10 mmol/L,   0.0
-----------------------,   -----------------------
. . . Per-episode statistics (Median [IQR]),   . . .
*** Raw BG Stats ***,   
Hours of control,   [14.75 29.5 44.25]
Num BG measurements,   [40.5 67.0 122.25]
Initial BG (mmol/L),   [7.2 9.6 11.3]
BG median (mmol/L),   [5.121287927839034 5.353410736385756 5.999849778598781]
BG mean (mmol/L),   [5.277350949344375 5.688925941962745 6.354114595677851]
BG StDev (mmol/L),   [0.721518756569616 1.0510282797678254 1.5330434961047334]
%BG > 10.0 mmol/L,   [0.0 0.49630541871921185 4.5995670995671]
%BG within 4.0-6.1 mmol/L,   [53.0016447368421 75.90011614401858 88.34992887624466]
%BG within 4.0-7.0 mmol/L,   [71.8307783018868 89.22056384742952 95.57739557739558]
%BG within 4.0-8.0 mmol/L,   [84.05032467532467 93.78911892152144 97.98861852433281]
%BG < 4.4 mmol/L,   [0.0 1.2854317732366511 5.523601398601398]
%BG < 4.0 mmol/L,   [0.0 0.0 1.758267349790405]
%BG < 2.22 mmol/L,   [0.0 0.0 0.0]
-----------------------,   -----------------------
. . . Intervention Cohort Stats (Hourly Average),   . . .
Median insulin rate [IQR] (U/hr),   [1.0, 2.0, 6.0]
Feed Stats All,   
Median glucose rate [IQR] (g/hour),   [0.0, 1.8676, 3.8164000000000002]
Median glucose rate [IQR] (% goal),   [60.62786356694384, 99.67456465886382, 100.42861712336071]
Median Enteral glucose [IQR] (g/hour),   [0.0, 0.16540740740740742, 0.3533703703703704]
Median Parental glucose [IQR] (g/hour),   [0.0, 0.0, 0.0]
Feed Stats Excluding those not fed,   
Total hours not fed,   4220
Median glucose rate [IQR] (g/hour),   [2.3548, 3.7352, 5.846400000000002]
Median glucose rate [IQR] (% goal),   [98.77010406811729, 99.9621212121212, 100.60176991150442]
Median Enteral glucose [IQR] (g/hour),   [2.1924, 3.7352, 5.684000000000001]
Median Parental glucose [IQR] (g/hour),   [5.0, 5.0, 5.0]
-----------------------,   -----------------------
. . . Intervention Per-episode Stats (Hourly Average),   . . .
Median insulin rate [IQR] (U/hr),   [1.9964788732394365, 3.404623044096728, 5.389079473985134]
Feed Stats All,   
Median glucose rate [IQR] (g/hour),   [0.3534092196480001, 3.022797310126583, 5.481553917158853]
Median glucose rate [IQR] (% goal),   [66.2001223142403, 83.44595919521333, 95.87892026078146]
Median Enteral glucose [IQR] (g/hour),   [2.2257153110047855e-7, 3.022797310126582, 5.44746726910909]
Median Parental glucose [IQR] (g/hour),   [0.0, 0.0, 0.0]
Feed Stats Excluding those not fed,   
Total hours not fed,   4220
Median glucose rate [IQR] (g/hour),   [3.2804214088147066, 4.524025000799997, 6.152984276461016]
Median glucose rate [IQR] (% goal),   [77.29099535569159, 91.99852510324487, 97.44805900248139]
Median Enteral glucose [IQR] (g/hour),   [3.158357369425638, 4.51175128205128, 6.284986186231053]
Median Parental glucose [IQR] (g/hour),   [5.0, 5.0, 5.0]
-----------------------,   -----------------------
